,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
56,56,TrialState.PRUNED,-2.290611982345581,2019-08-07 03:39:59.186018,2019-08-07 03:42:40.769888,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-3.55207896232605,-8.064506530761719,-22.6905517578125,-32.01435089111328,-23.603044509887695,-26.43410873413086,-2.290611982345581,,,,,,,,,,,,,,
57,57,TrialState.PRUNED,-4.377669811248779,2019-08-07 03:40:02.521538,2019-08-07 03:41:44.964739,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,0.06624756008386612,-0.38697996735572815,-4.377669811248779,,,,,,,,,,,,,,,,,,
58,58,TrialState.PRUNED,0.6321719288825989,2019-08-07 03:41:45.159797,2019-08-07 03:45:06.193351,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,4.3081560134887695,2.737208843231201,0.6321719288825989,,,,,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,11.804952621459961,2019-08-07 03:42:40.968480,2019-08-07 03:43:42.997082,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,18.530746459960938,25.41982650756836,11.804952621459961,,,,,,,,,,,,,,,,,,
60,60,TrialState.PRUNED,-9.519550323486328,2019-08-07 03:43:43.196325,2019-08-07 03:47:11.183919,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-4.047679901123047,-7.369929313659668,-8.942862510681152,-16.256988525390625,-9.519550323486328,,,,,,,,,,,,,,,,
61,61,TrialState.PRUNED,1.6734440326690674,2019-08-07 03:45:06.403310,2019-08-07 03:48:20.286251,32,0.2,1.2917856070485814e-06,0.98,0.99,1.891784235480046e-05,256,50,61,,6.07938289642334,3.2549967765808105,1.6734440326690674,,,,,,,,,,,,,,,,,,
62,62,TrialState.PRUNED,11.69854736328125,2019-08-07 03:47:11.435524,2019-08-07 03:51:48.845421,64,0.4,9.652324769241093e-07,0.999,0.99,0.030069570729407295,2048,20,62,,7.765202522277832,14.894437789916992,11.69854736328125,,,,,,,,,,,,,,,,,,
63,63,TrialState.PRUNED,3.9113354682922363,2019-08-07 03:48:20.500817,2019-08-07 03:49:36.455516,256,0.4,0.000756799248385741,0.99,0.99,1.924156455573086e-05,256,1,63,,4.666848182678223,4.509878635406494,3.9113354682922363,,,,,,,,,,,,,,,,,,
64,64,TrialState.COMPLETE,-369.97802734375,2019-08-07 03:49:36.675991,2019-08-07 04:03:13.277556,256,0.2,0.0001297769150859259,0.9999,0.8,0.000739717153282996,128,30,64,,-3.8087539672851562,-8.180903434753418,-26.26906967163086,-17.974184036254883,-29.660476684570312,-25.56886863708496,-43.7088737487793,-93.341064453125,-183.0329132080078,-305.1383972167969,-407.2615966796875,-403.0069580078125,-319.58795166015625,-502.44384765625,-518.5709838867188,-530.5588989257812,-505.75006103515625,-475.42156982421875,-369.97802734375,,
65,65,TrialState.PRUNED,10.212091445922852,2019-08-07 03:51:49.138369,2019-08-07 03:54:11.437336,256,0.3,2.0525139087697197e-08,0.9,0.92,0.0019919545214867325,1024,20,65,,5.543103218078613,2.5452158451080322,10.212091445922852,,,,,,,,,,,,,,,,,,
66,66,TrialState.PRUNED,-5.310080528259277,2019-08-07 03:54:11.640222,2019-08-07 03:57:19.376662,256,0.4,0.00011035719208702894,0.9,0.98,0.0003420192085916292,2048,5,66,,-1.2653748989105225,-0.4914236068725586,-5.310080528259277,,,,,,,,,,,,,,,,,,
67,67,TrialState.PRUNED,-2.8031439781188965,2019-08-07 03:57:19.578795,2019-08-07 03:59:03.913683,256,0.2,1.31543554944804e-07,0.98,0.9,0.0060554599478899445,32,20,67,,-5.905154228210449,-1.1400511264801025,-2.8031439781188965,,,,,,,,,,,,,,,,,,
68,68,TrialState.PRUNED,-1.9985663890838623,2019-08-07 03:59:04.196425,2019-08-07 04:00:14.117526,256,0.1,1.0692943306539131e-07,0.995,1.0,0.00042503415645610363,64,5,68,,2.151160717010498,0.34295445680618286,-1.9985663890838623,,,,,,,,,,,,,,,,,,
69,69,TrialState.PRUNED,1.9469356536865234,2019-08-07 04:00:14.320398,2019-08-07 04:01:57.826561,32,0.3,0.023649015000495138,0.98,0.9,2.892683058218275e-05,32,20,69,,5.011054992675781,0.14747805893421173,1.9469356536865234,,,,,,,,,,,,,,,,,,
70,70,TrialState.PRUNED,-0.05866839736700058,2019-08-07 04:01:58.026759,2019-08-07 04:05:09.607737,128,0.3,9.64142355719148e-06,0.98,0.95,2.9329001801011224e-05,2048,10,70,,3.7932918071746826,3.3572134971618652,-0.05866839736700058,,,,,,,,,,,,,,,,,,
71,71,TrialState.PRUNED,3.210400342941284,2019-08-07 04:03:13.323905,2019-08-07 04:04:43.759761,128,0.1,0.0013175933067699672,0.9,0.92,1.3656673416552015e-05,1024,1,71,,4.503401756286621,4.394898414611816,3.210400342941284,,,,,,,,,,,,,,,,,,
72,72,TrialState.PRUNED,-8.447160720825195,2019-08-07 04:04:43.977731,2019-08-07 04:06:25.170976,256,0.4,0.0001370531927748255,0.9999,1.0,0.0019529635436328463,512,5,72,,-0.0627368912100792,-5.029690742492676,-8.447160720825195,,,,,,,,,,,,,,,,,,
73,73,TrialState.PRUNED,-42.636009216308594,2019-08-07 04:05:09.814687,2019-08-07 04:08:17.506413,64,0.3,0.005563778666223539,0.98,0.98,0.007564074719136701,128,10,73,,-3.202594041824341,-8.990274429321289,-23.07358169555664,-36.144691467285156,-25.212017059326172,-53.421607971191406,-35.98108673095703,-42.636009216308594,,,,,,,,,,,,,
74,74,TrialState.PRUNED,-1.5129239559173584,2019-08-07 04:06:25.386384,2019-08-07 04:08:59.137819,128,0.3,6.152332665223691e-06,0.99,1.0,0.013947365926504713,512,30,74,,1.9089809656143188,-2.56554913520813,-1.5129239559173584,,,,,,,,,,,,,,,,,,
