,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
66,66,TrialState.PRUNED,-14.208673477172852,2019-08-07 03:32:25.326975,2019-08-07 03:35:04.171013,256,0.4,0.00011035719208702894,0.9,0.98,0.0003420192085916292,2048,5,66,,-15.593027114868164,-12.947669982910156,-14.208673477172852,,,,,,,,,,,,,,,,,,
67,67,TrialState.PRUNED,-18.540138244628906,2019-08-07 03:33:16.864032,2019-08-07 03:34:42.435873,256,0.2,1.31543554944804e-07,0.98,0.9,0.0060554599478899445,32,20,67,,-15.4153470993042,-29.097637176513672,-18.540138244628906,,,,,,,,,,,,,,,,,,
68,68,TrialState.PRUNED,-16.18509292602539,2019-08-07 03:34:42.657295,2019-08-07 03:35:37.451708,256,0.1,1.0692943306539131e-07,0.995,1.0,0.00042503415645610363,64,5,68,,-13.880284309387207,-12.931760787963867,-16.18509292602539,,,,,,,,,,,,,,,,,,
69,69,TrialState.PRUNED,-13.458093643188477,2019-08-07 03:35:04.409687,2019-08-07 03:36:31.640403,32,0.3,0.023649015000495138,0.98,0.9,2.892683058218275e-05,32,20,69,,-13.917715072631836,-14.089990615844727,-13.458093643188477,,,,,,,,,,,,,,,,,,
70,70,TrialState.PRUNED,-17.2567138671875,2019-08-07 03:35:37.769408,2019-08-07 03:38:18.317078,128,0.3,9.64142355719148e-06,0.98,0.95,2.9329001801011224e-05,2048,10,70,,-15.720715522766113,-17.252376556396484,-17.2567138671875,,,,,,,,,,,,,,,,,,
71,71,TrialState.PRUNED,-12.000516891479492,2019-08-07 03:36:31.883366,2019-08-07 03:37:48.519493,128,0.1,0.0013175933067699672,0.9,0.92,1.3656673416552015e-05,1024,1,71,,-15.642555236816406,-14.079257011413574,-12.000516891479492,,,,,,,,,,,,,,,,,,
72,72,TrialState.PRUNED,-14.176897048950195,2019-08-07 03:37:48.750839,2019-08-07 03:39:14.268605,256,0.4,0.0001370531927748255,0.9999,1.0,0.0019529635436328463,512,5,72,,-18.63746452331543,-14.741839408874512,-14.176897048950195,,,,,,,,,,,,,,,,,,
73,73,TrialState.PRUNED,-21.73652458190918,2019-08-07 03:38:18.697071,2019-08-07 03:39:21.824609,64,0.3,0.005563778666223539,0.98,0.98,0.007564074719136701,128,10,73,,-15.232841491699219,-18.67941665649414,-21.73652458190918,,,,,,,,,,,,,,,,,,
74,74,TrialState.PRUNED,-20.311756134033203,2019-08-07 03:39:14.511075,2019-08-07 03:41:21.588112,128,0.3,6.152332665223691e-06,0.99,1.0,0.013947365926504713,512,30,74,,-14.947641372680664,-16.65242576599121,-20.311756134033203,,,,,,,,,,,,,,,,,,
75,75,TrialState.PRUNED,-8.015754699707031,2019-08-07 03:39:22.030321,2019-08-07 03:40:32.396046,64,0.3,1.7105366578849403e-08,0.95,0.95,0.17586991032487445,64,1,75,,-5.856682300567627,-37.01254653930664,-7.859715461730957,-8.015754699707031,,,,,,,,,,,,,,,,,
